TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
ICHTHYOMYZON FOSSOR,PETROMYZONTIDAE,ICHTHYOMYZON,NORTHERN BROOK LAMPREY,2,II,2_MIDDLE,II,2,NATIVE,OM,F,SIMPLE NEST; LITHOPHIL
ICHTHYOMYZON GAGEI,PETROMYZONTIDAE,ICHTHYOMYZON,SOUTHERN BROOK LAMPREY,3,III,3_MIDDLE,III,3,NATIVE,OM,F,SIMPLE NEST; LITHOPHIL
ICHTHYOMYZON UNICUSPIS,PETROMYZONTIDAE,ICHTHYOMYZON,SILVER LAMPREY,3,III,3_BETTER,IIIa,3,NATIVE,TC,F,SIMPLE NEST; MIGRATORY; LITHOPHIL
ICTALURUS FURCATUS,ICTALURIDAE,ICTALURUS,BLUE CATFISH,3,III,3_WORSE,IIIb,3.5,NON_NATIVE,TC,,COMPLEX NEST
ICTALURUS PUNCTATUS,ICTALURIDAE,ICTALURUS,CHANNEL CATFISH,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,,COMPLEX NEST
ICTIOBUS,CATOSTOMIDAE,ICTIOBUS,BUFFALO,4,IV,4_BETTER,IVa,4,NATIVE,OM,,
ICTIOBUS BUBALUS,CATOSTOMIDAE,ICTIOBUS,SMALLMOUTH BUFFALO,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER
ICTIOBUS BUBALUS X NIGER,CATOSTOMIDAE,ICTIOBUS,SMALLMOUTH X BLACK BUFFALO,,,,,,,,,
ICTIOBUS CYPRINELLUS,CATOSTOMIDAE,ICTIOBUS,BIGMOUTH BUFFALO,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER
ICTIOBUS NIGER,CATOSTOMIDAE,ICTIOBUS,BLACK BUFFALO,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER
LABIDESTHES SICCULUS,ATHERINIDAE,LABIDESTHES,BROOK SILVERSIDE,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER
LAMPETRA,PETROMYZONTIDAE,LAMPETRA,LAMPREY LAMPETRA,4,IV,4_BETTER,IVa,4,NATIVE,OM,F,
LAMPETRA AEPYPTERA,PETROMYZONTIDAE,LAMPETRA,LEAST BROOK LAMPREY,3,III,3_MIDDLE,III,3,NATIVE,OM,F,SIMPLE NEST; LITHOPHIL
LEPISOSTEIDAE,LEPISOSTEIDAE,LEPISOSTEIDAE,GAR,4,IV,4_BETTER,IVa,4,NATIVE,TC,,
LEPISOSTEUS OCULATUS,LEPISOSTEIDAE,LEPISOSTEUS,SPOTTED GAR,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,BROADCASTER
LEPISOSTEUS OSSEUS,LEPISOSTEIDAE,LEPISOSTEUS,LONGNOSE GAR,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER
LEPISOSTEUS PLATOSTOMUS,LEPISOSTEIDAE,LEPISOSTEUS,SHORTNOSE GAR,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER
LEPOMIS CYANELLUS,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH,5,V,5_MIDDLE,V,5,NATIVE,TC,W,COMPLEX NEST
LEPOMIS CYANELLUS HYBRID,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH HYBRID,,,,,,NATIVE,TC,W,
LEPOMIS CYANELLUS X GULOSUS,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH X WARMOUTH,,,,,,NATIVE,OM,,
LEPOMIS CYANELLUS X HUMILIS,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH X ORANGESPOTTED SUNFISH,,,,,,NATIVE,IV,W,
LEPOMIS CYANELLUS X MEGALOTIS,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH X LONGEAR SUNFISH,,,,,,NATIVE,TC,W,
LEPOMIS CYANELLUS X MICROLOPHUS,CENTRARCHIDAE,LEPOMIS,GREEN SUNFISH X REDEAR SUNFISH,,,,,,NATIVE,TC,W,
