Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,106,Limnesiidae,Acari,Acari,Acari,NA,NA,NA,83050,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Limnesiidae,,,,,,,Family
,,,MN Access db,107,Limnesia,Acari,Acari,Acari,NA,NA,NA,83051,83050,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Limnesiidae,,,Limnesia,,,,Genus
,,,MN Access db,108,Limnocharidae,Acari,Acari,Acari,NA,NA,NA,83145,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Limnocharidae,,,,,,,Family
,,,MN Access db,109,Limnochares,Acari,Acari,Acari,NA,NA,NA,83146,83145,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Limnocharidae,,,Limnochares,,,,Genus
,,,MN Access db,110,Mideopsidae,Acari,Acari,Acari,NA,NA,NA,83476,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Mideopsidae,,,,,,,Family
,,,MN Access db,111,Mideopsis,Acari,Acari,Acari,NA,NA,NA,83479,83476,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Mideopsidae,,,Mideopsis,,,,Genus
,,,MN Access db,112,Momoniidae,Acari,Acari,Acari,NA,NA,NA,83470,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Momoniidae,,,,,,,Family
,,,MN Access db,113,Neoacaridae,Acari,Acari,Acari,NA,NA,NA,82858,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Neoacaridae,,,,,,,Family
,,,MN Access db,114,Oxidae,Acari,Acari,Acari,NA,NA,NA,83239,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Oxidae,,,,,,,Family
,,,MN Access db,115,Forelia,Acari,Acari,Acari,NA,NA,NA,83331,83330,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Pionidae,,,Forelia,,,,Genus
,,,MN Access db,116,Wettina,Acari,Acari,Acari,NA,NA,NA,83430,83330,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Pionidae,,,Wettina,,,,Genus
,,,MN Access db,117,Protziidae,Acari,Acari,Acari,NA,NA,NA,83164,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Protziidae,,,,,,,Family
,,,MN Access db,118,Calonyx,Acari,Acari,Acari,NA,NA,NA,83165,83164,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Protziidae,,,Calonyx,,,,Genus
,,,MN Access db,119,Sperchon,Acari,Acari,Acari,NA,NA,NA,83006,83005,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Sperchontidae,,,Sperchon,,,,Genus
